FIPS,pre_Grocery Stores,pre_Gasoline Stations,pre_Building Dealers,storm,state,landfall_date,order,forecast_wind,forecast_tp,year,fraction_pop_under_5,fraction_pop_over_65,dis_5to64_rate,lmt_english,no_vehicle_rate,median_income,white_fraction,sig_Grocery Stores,sig_Gasoline Stations,sig_Building Material and Supplies Dealers,Grocery Stores density,Gasoline Stations density,Building Dealers density,storm_beta,storm_claudette,storm_delta,storm_elsa,storm_helene,storm_henri,storm_ida,storm_laura,storm_milton,storm_zeta,state_LA,state_NC,state_NJ,state_NY,state_SC,state_TX,order_x_wind
22001,1.1355960472001,1.1214130257016692,1.362847849656668,delta,LA,2020-10-09,1,31.9518971799763,354.9488525390625,2020,6.8,15.3,0.1595664341877304,0.0123869171885873,0.0819763395963813,0.042368,0.7662046686119216,1,1,1,0.0671755725190839,0.0702290076335877,0.0229007633587786,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,31.9518971799763
22003,1.1405007557337188,1.1009384882178923,1.0553191489361704,delta,LA,2020-10-09,1,36.5519804922942,642.9038696289062,2020,6.0,14.2,0.1575384615384615,0.0023416157148432,0.0803954728762846,0.047659999999999994,0.6657582417582417,1,1,0,0.0183727034120734,0.0262467191601049,0.0104986876640419,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,36.5519804922942
22005,1.1175085782816787,1.0859668689619122,1.019306358381503,delta,LA,2020-10-09,1,12.5062223390732,77.4000015258789,2020,6.8,11.9,0.1040222325516995,0.0170594092266843,0.0331231330899435,0.086256,0.629604743083004,1,0,0,0.1591695501730103,0.2179930795847751,0.1557093425605536,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,12.5062223390732
22007,1.1221407624633433,1.1244104616264117,1.0573199070487993,delta,LA,2020-10-09,1,13.4393479456942,90.5390625,2020,5.3,18.8,0.1317149081854964,0.0071178670527204,0.0960308843044999,0.042831,0.6454679404914683,1,1,0,0.0494186046511627,0.0319767441860465,0.005813953488372,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,13.4393479456942
22009,1.1161370575596516,1.151065721908259,1.17103694874851,delta,LA,2020-10-09,1,28.364714750551,579.8500366210938,2020,6.5,16.5,0.2292312126233878,0.0091374775024228,0.0909594351377544,0.037903,0.6357796084952007,1,1,1,0.0312876052948255,0.0373044524669073,0.01323706377858,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,28.364714750551
22011,1.1980901621141462,1.1654931010623142,1.0643680866086136,delta,LA,2020-10-09,1,35.1253093033139,426.790771484375,2020,6.7,15.6,0.1551278368284975,0.0042690233672858,0.0641851408028759,0.05713,0.7945224219540891,1,1,0,0.0121002592912705,0.0164217804667242,0.0060501296456352,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,35.1253093033139
22013,1.047375754760799,1.083225388601036,1.0441558441558445,delta,LA,2020-10-09,1,22.1870752668584,355.5708312988281,2020,5.8,20.4,0.1556653352953542,0.0022918258212375,0.1048510313216195,0.032328,0.5316231415145212,0,0,0,0.0123304562268803,0.0234278668310727,0.002466091245376,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,22.1870752668584
22015,1.0505941826006986,1.0411540293782997,1.0284115840280823,delta,LA,2020-10-09,1,15.7615425475945,328.52679443359375,2020,6.7,14.1,0.1032954545454545,0.0172835377959831,0.0530627599322869,0.058289,0.6134714864927843,1,0,0,0.066746126340882,0.067938021454112,0.0381406436233611,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,15.7615425475945
22017,1.0761146138832405,1.0375181154371391,1.064853808205992,delta,LA,2020-10-09,1,15.2029699382668,347.9375,2020,6.5,17.2,0.1282720916435173,0.0056409114525346,0.1004760844440203,0.043153,0.4276975211059163,0,1,0,0.1308304891922639,0.1626848691695108,0.0637087599544937,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,15.2029699382668
22019,1.0907242885107664,1.1395264669484204,1.0459977998620251,delta,LA,2020-10-09,1,36.8692455415224,467.7124938964844,2020,7.1,14.8,0.1083426447726389,0.0143044943966471,0.0555128922672428,0.05947,0.6324699587148558,1,1,0,0.1033834586466165,0.2030075187969924,0.0789473684210526,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,36.8692455415224
22021,1.1140769879179546,1.151826963460731,1.2096774193548383,delta,LA,2020-10-09,1,21.6792823307726,428.9488525390625,2020,6.0,18.2,0.1284851968956596,0.0005767012687427,0.0908304498269896,0.041860999999999995,0.7828926905132193,0,1,1,0.0207939508506616,0.0207939508506616,0.0037807183364839,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,21.6792823307726
22023,1.0993825931089425,1.1585879873551108,0.0,delta,LA,2020-10-09,1,37.7612586952481,407.2963562011719,2020,6.8,15.9,0.1107784431137724,0.0482851985559566,0.0117328519855595,0.064525,0.9211322770162008,1,1,0,0.0046728971962616,0.0062305295950155,0.0,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,37.7612586952481
22025,1.2261790891030828,1.18025056631686,1.7091836734693877,delta,LA,2020-10-09,1,27.1127201883792,402.4125061035156,2020,5.7,16.4,0.1247408431237042,0.0,0.0909983633387888,0.042232,0.6442847518526836,1,1,1,0.0098870056497175,0.0098870056497175,0.001412429378531,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,27.1127201883792
22027,1.0902910929057,1.268585459009685,1.267605633802817,delta,LA,2020-10-09,1,17.0063529709496,259.8035583496094,2020,4.7,19.1,0.1093682388576373,0.0059500198333994,0.1025386751289171,0.029574000000000003,0.4985179957657022,0,1,0,0.0106100795755968,0.0145888594164456,0.0013262599469496,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,17.0063529709496
